Thu Jan 19 17:48:17 2023    profile.dat

         19705733 function calls (16881799 primitive calls) in 2162.912 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    45324    0.030    0.000    0.083    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\abc.py:117(__instancecheck__)
    45324    0.053    0.000    0.053    0.000 {built-in method _abc._abc_instancecheck}
    44864    1.026    0.000    1.026    0.000 {method 'view' of 'torch._C._TensorBase' objects}
    44792    0.055    0.000    0.063    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\utils\py_utils.py:272(unique_values)
    44792    0.118    0.000    0.216    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\utils\py_utils.py:298(zip_dict)
    44792    0.020    0.000    0.020    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_base.py:3003(<genexpr>)
    43062    0.046    0.000    0.046    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:382(get_full_typename)
42984/11726    0.133    0.000    0.738    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\data_types.py:103(_json_helper)
    42060    0.776    0.000    0.776    0.000 {method 'transpose' of 'torch._C._TensorBase' objects}
    40836    0.020    0.000    0.032    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:494(is_tf_tensor_typename)
    40836    0.023    0.000    0.038    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:500(is_tf_eager_tensor_typename)
    40836    0.021    0.000    0.033    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:510(is_pytorch_tensor_typename)
    40836    0.020    0.000    0.032    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:516(is_jax_tensor_typename)
    40836    0.020    0.000    0.032    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:526(is_fastai_tensor_typename)
    40836    0.243    0.000    0.549    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:678(json_friendly)
    40836    0.020    0.000    0.020    0.000 {built-in method sys.getsizeof}
    40136    0.020    0.000    0.030    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:1808(_is_artifact_string)
    39961    0.017    0.000    0.024    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\util.py:1812(_is_artifact_version_weave_dict)
    39787    0.014    0.000    0.014    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\data_types\_dtypes.py:39(types_by_class)
39787/39761    0.115    0.000    0.241    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\data_types\_dtypes.py:55(type_of)
39787/39761    0.049    0.000    0.418    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\data_types\_dtypes.py:203(assign)
    39307    0.010    0.000    0.010    0.000 {built-in method builtins.ord}
    36604    0.007    0.000    0.007    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\data_types\_dtypes.py:194(__init__)
    36588    0.030    0.000    0.037    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\data_types\_dtypes.py:264(from_obj)
    36580    0.047    0.000    0.114    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\data_types\_dtypes.py:218(assign_type)
29762/982    0.076    0.000    0.264    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\copy.py:128(deepcopy)
26028/13236    0.021    0.000    0.026    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\json\encoder.py:277(_iterencode_list)
    25497    0.008    0.000    0.008    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2548(name)
    25459    0.027    0.000    0.034    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2830(<genexpr>)
    25294    0.007    0.000    0.007    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2560(kind)
    25236    0.262    0.000    1.287    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\models\distilbert\modeling_distilbert.py:201(shape)
    22828    0.024    0.000    0.024    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\table.py:433(num_rows)
    22510    0.022    0.000    0.022    0.000 {built-in method torch._C._has_torch_function_variadic}
    22417    0.011    0.000    0.011    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:221(__init__)
    22417    0.009    0.000    0.009    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:235(__init__)
    22417    0.061    0.000    0.081    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:399(__init__)
    22417    0.087    0.000    0.168    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\formatting\formatting.py:434(__init__)
    22393    0.230    0.000    0.237    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\table.py:76(_interpolation_search)
    22393    0.122    0.000    0.122    0.000 {method 'slice' of 'pyarrow.lib.RecordBatch' objects}
    22031    0.004    0.000    0.004    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\copy.py:182(_deepcopy_atomic)
    20510    0.070    0.000    0.070    0.000 {method 'size' of 'torch._C._TensorBase' objects}
    19628   16.425    0.001   16.425    0.001 {built-in method torch.dropout}
    19628    0.234    0.000   16.761    0.001 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\functional.py:1235(dropout)
    19628    0.111    0.000   16.872    0.001 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\dropout.py:58(forward)
    18567    0.041    0.000    0.058    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\enum.py:358(__call__)
    18567    0.017    0.000    0.017    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\enum.py:670(__new__)
    18226    0.025    0.000    0.025    0.000 {built-in method torch._C._get_cudnn_enabled}
    18226   21.553    0.001   21.553    0.001 {built-in method torch.layer_norm}
    18226    0.030    0.000    0.055    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\backends\__init__.py:31(__get__)
    18226    0.218    0.000   21.844    0.001 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\functional.py:2500(layer_norm)
    18226    0.192    0.000   22.087    0.001 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\nn\modules\normalization.py:189(forward)
17671/17447    0.010    0.000    0.026    0.000 {built-in method builtins.issubclass}
    17619    0.020    0.000    0.038    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\serialization.py:584(persistent_id)
    17280    0.008    0.000    0.008    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\wandb_settings.py:337(__setattr__)
    16996    0.099    0.000    0.165    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2498(__init__)
    16996    0.013    0.000    0.013    0.000 {method 'isidentifier' of 'str' objects}
    16927    0.017    0.000    0.020    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:159(isfunction)
    16889    0.006    0.000    0.006    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\torch\__init__.py:317(is_storage)
    16878    0.005    0.000    0.005    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2865(parameters)
16876/8463    0.246    0.000    1.074    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2246(_signature_from_callable)
    16876    0.121    0.000    0.161    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\inspect.py:2781(__init__)
    16824   25.529    0.002   25.529    0.002 {built-in method torch.matmul}
16746/16742    0.061    0.000    0.080    0.000 {method 'format' of 'str' objects}
15527/15407    0.010    0.000    0.016    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\wandb\sdk\wandb_settings.py:1131(__getattribute__)
    15502    0.013    0.000    0.013    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\datasets\arrow_dataset.py:175(features)
14478/14082    0.005    0.000    0.032    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\json\encoder.py:333(_iterencode_dict)
    14082    0.005    0.000    0.036    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\json\encoder.py:413(_iterencode)
    14020    0.010    0.000    0.010    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\collections\__init__.py:1060(__setitem__)
    13891    0.015    0.000    0.021    0.000 <frozen importlib._bootstrap>:1033(_handle_fromlist)
13514/10702    0.047    0.000    0.050    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\configuration_utils.py:251(__getattribute__)
    13513    0.009    0.000    0.009    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\dataclasses.py:1039(<genexpr>)
    13231    0.513    0.000    0.513    0.000 {built-in method torch.tensor}
    12876    0.005    0.000    0.005    0.000 {method 'write' of '_io.BufferedWriter' objects}
    12825    0.011    0.000    0.018    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\codecs.py:373(write)
    12825    0.008    0.000    0.026    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\codecs.py:719(write)
    12825    0.004    0.000    0.004    0.000 {built-in method _codecs.utf_8_encode}
    12600    0.007    0.000    0.010    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_base.py:2998(<genexpr>)
    12506    0.014    0.000    0.014    0.000 C:\Users\Siddhi\anaconda3\envs\mlops\lib\site-packages\transformers\tokenization_utils_base.py:1035(pad_token)
