Wed Jan 18 11:49:05 2023    profile.dat

         3124711 function calls (3050196 primitive calls) in 1.093 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2253/952    0.004    0.000    0.040    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/copy.py:227(_deepcopy_dict)
    27173    0.004    0.000    0.009    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/abc.py:117(__instancecheck__)
     2390    0.004    0.000    0.010    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/base.py:152(_set_flag)
    74607    0.004    0.000    0.004    0.000 {built-in method posix.fspath}
    33391    0.004    0.000    0.004    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/wandb/sdk/data_types/_dtypes.py:39(types_by_class)
        2    0.004    0.002    0.004    0.002 {method 'read_all' of 'pyarrow.lib.RecordBatchReader' objects}
    27173    0.004    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
     8352    0.003    0.000    0.011    0.000 {built-in method builtins.any}
        4    0.003    0.001    0.003    0.001 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/json/encoder.py:204(iterencode)
     2138    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
     3518    0.003    0.000    0.260    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:391(realpath)
     2777    0.003    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/_utils.py:439(is_attr_class)
    18130    0.003    0.000    0.004    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:182(ismodule)
     3508    0.003    0.000    0.067    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:838(getabsfile)
4359/3363    0.003    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/base.py:189(_get_flag)
     2799    0.003    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/_utils.py:431(is_dataclass)
     7897    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
        9    0.003    0.000    0.003    0.000 {method 'readlines' of '_io._IOBase' objects}
    42695    0.003    0.000    0.003    0.000 {built-in method _stat.S_ISLNK}
     2654    0.003    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/yaml/reader.py:99(forward)
     3444    0.003    0.000    0.007    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/_utils.py:508(_is_missing_value)
      648    0.003    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/packaging/version.py:183(__init__)
   740/48    0.003    0.000    0.008    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/base.py:372(_re_parent)
