Wed Jan 18 11:49:05 2023    profile.dat

         3124711 function calls (3050196 primitive calls) in 1.093 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     8396    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     8352    0.003    0.000    0.011    0.000 {built-in method builtins.any}
     8348    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap>:404(parent)
     7897    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
7686/2626    0.002    0.000    0.003    0.000 {built-in method builtins.hash}
     7667    0.002    0.000    0.003    0.000 {method 'join' of 'str' objects}
     7040    0.028    0.000    0.040    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:337(normpath)
     7039    0.005    0.000    0.052    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:376(abspath)
     6574    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
     6499    0.001    0.000    0.001    0.000 {method 'group' of 're.Match' objects}
5767/5541    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
     5578    0.002    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/copy.py:243(_keep_alive)
     4992    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/typing.py:371(__getattr__)
4710/4420    0.001    0.000    0.005    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/copy.py:264(<genexpr>)
4359/3363    0.003    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/base.py:189(_get_flag)
     4222    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     4021    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:191(isclass)
     3786    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/InputStream.py:48(LA)
     3781    0.002    0.000    0.003    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:773(getfile)
     3781    0.002    0.000    0.006    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/torch/package/package_importer.py:684(_patched_getfile)
     3651    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/omegaconf/_utils.py:516(_is_missing_literal)
     3625    0.001    0.000    0.001    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/site-packages/antlr4/IntervalSet.py:93(<genexpr>)
     3536    0.006    0.000    0.044    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/inspect.py:813(getsourcefile)
     3518    0.003    0.000    0.260    0.000 /Users/alejandranavarrocastillo/opt/anaconda3/envs/dtu_mlops/lib/python3.10/posixpath.py:391(realpath)
